Configuration,small
Taken Conditional Branches,339381
Instructions Retired / Cycles,0.97512
Fetch Wait / Instruction Retired,0.0255145
Taken Conditional Branches / Conditional Branches,0.613385
,
,
,
,
,
,
Configuration,small
Matrix Dimension,59
Cycles,59188168
Instructions Retired,36271283
Instructions Retired / Cycles,0.612813
Fetch Wait / Instruction Retired,0
Taken Conditional Branches / Conditional Branches,-nan
,
,
,
,
,
,
Configuration,opentitan_4096
Matrix Dimension,59
Cycles,37150092
Instructions Retired,36271283
LSU Busy,1
Fetch Wait,878808
Loads,8528820
Stores,174902
Jumps,3679
Conditional Branches,1363892
Taken Conditional Branches,873752
Instructions Retired / Cycles,0.976344
Fetch Wait / Instruction Retired,0.0242288
Taken Conditional Branches / Conditional Branches,0.640631
,
,
,
,
,
,
Configuration,opentitan_8192
Matrix Dimension,59
Cycles,37148991
Instructions Retired,36271283
LSU Busy,1
Fetch Wait,877707
Loads,8528820
Stores,174902
Jumps,3679
Conditional Branches,1363892
Taken Conditional Branches,873752
Instructions Retired / Cycles,0.976373
Fetch Wait / Instruction Retired,0.0241984
Taken Conditional Branches / Conditional Branches,0.640631
,
,
,
,
,
,
Configuration,maxperf
Matrix Dimension,59
Cycles,36474281
Instructions Retired,36271283
LSU Busy,1
Fetch Wait,202997
Loads,8528820
Stores,174902
Jumps,3679
Conditional Branches,1363892
Taken Conditional Branches,873752
Instructions Retired / Cycles,0.994434
Fetch Wait / Instruction Retired,0.00559663
Taken Conditional Branches / Conditional Branches,0.640631
,
,
,
,
,
,
Configuration,maxperf_with_cache_4096
Matrix Dimension,59
Cycles,36475861
Instructions Retired,36271283
LSU Busy,1
Fetch Wait,204577
Loads,8528820
Stores,174902
Jumps,3679
Conditional Branches,1363892
Taken Conditional Branches,873752
Instructions Retired / Cycles,0.994391
Fetch Wait / Instruction Retired,0.00564019
Taken Conditional Branches / Conditional Branches,0.640631
,
,
,
,
,
,
Configuration,maxperf_with_cache_8192
Matrix Dimension,59
Cycles,36474586
Instructions Retired,36271283
LSU Busy,1
Fetch Wait,203302
Loads,8528820
Stores,174902
Jumps,3679
Conditional Branches,1363892
Taken Conditional Branches,873752
Instructions Retired / Cycles,0.994426
Fetch Wait / Instruction Retired,0.00560504
Taken Conditional Branches / Conditional Branches,0.640631
,
,
,
,
,
,
Configuration,maxperf-pmp-bmfull
Matrix Dimension,59
Cycles,37148715
Instructions Retired,36271283
LSU Busy,1
Fetch Wait,877431
Loads,8528820
Stores,174902
Jumps,3679
Conditional Branches,1363892
Taken Conditional Branches,873752
Instructions Retired / Cycles,0.976381
Fetch Wait / Instruction Retired,0.0241908
Taken Conditional Branches / Conditional Branches,0.640631
,
,
,
,
,
,
Configuration,maxperf-pmp-bmfull-icache
Matrix Dimension,59
Cycles,37150092
Instructions Retired,36271283
LSU Busy,1
Fetch Wait,878808
Loads,8528820
Stores,174902
Jumps,3679
Conditional Branches,1363892
Taken Conditional Branches,873752
Instructions Retired / Cycles,0.976344
Fetch Wait / Instruction Retired,0.0242288
Taken Conditional Branches / Conditional Branches,0.640631
,
,
,
,
,
,
Configuration,small
Matrix Dimension,72
Cycles,106796591
Instructions Retired,65733259
Instructions Retired / Cycles,0.6155
Fetch Wait / Instruction Retired,0
Taken Conditional Branches / Conditional Branches,-nan
,
,
,
,
,
,
Configuration,opentitan_4096
Matrix Dimension,72
Cycles,67139268
Instructions Retired,65733259
LSU Busy,1
Fetch Wait,1406008
Loads,15396850
Stores,260182
Jumps,5210
Conditional Branches,2429552
Taken Conditional Branches,1399425
Instructions Retired / Cycles,0.979058
Fetch Wait / Instruction Retired,0.0213896
Taken Conditional Branches / Conditional Branches,0.576001
,
,
,
,
,
,
Configuration,opentitan_8192
Matrix Dimension,72
Cycles,67138206
Instructions Retired,65733259
LSU Busy,1
Fetch Wait,1404946
Loads,15396850
Stores,260182
